time_tick,acc_X_value,acc_Y_value,acc_Z_value,acc_X_value,acc_Y_value,acc_Z_value
5.157178,1.347984,3.379836,-10.061244,-0.75839,3.474859,-9.172514
5.190477,1.323143,3.894757,-9.982831,-0.874364,3.108683,-9.047113
5.223805,1.702637,4.076274,-9.804456,-0.837701,3.364422,-9.198253
5.257141,1.872632,4.205865,-9.268884,-0.722775,3.36143,-9.112208
5.290477,2.433194,4.211401,-9.947814,-0.734597,3.201012,-9.192866
5.323803,1.585168,4.244323,-9.173262,-0.964299,3.154024,-9.022572
5.357151,2.380071,4.466692,-9.359119,-0.828872,3.284962,-9.154407
5.39048,1.075634,3.836097,-7.284469,-0.810765,3.248748,-9.206034
5.423805,0.288512,5.674909,-8.6754,-0.82962,3.244708,-9.187478
5.457125,1.618089,11.659879,-4.973533,-0.782633,3.248299,-9.219801
5.489523,-1.238894,21.159213,12.692565,-0.925991,3.181708,-9.203191
5.523828,11.693698,15.205968,-41.86441,-0.845333,3.328358,-9.313777
5.556485,0.997969,-1.286181,-9.214863,-1.121424,3.146093,-9.764651
5.590471,1.95703,3.98993,-10.390009,-2.561438,2.883919,-11.478811
5.62388,1.363247,3.462289,-9.416432,-2.190324,2.585082,-14.128838
5.656623,1.216747,2.940783,-9.162638,1.804694,-1.367737,-17.621504
5.690559,1.124417,2.969215,-8.906,-2.552609,-0.161016,-15.006943
5.72387,1.401855,2.926567,-9.635809,-5.310679,8.037921,-19.840709
5.75702,1.574992,3.191585,-9.443069,-9.16593,-6.108575,-12.199641
5.790525,1.532344,3.049723,-9.335924,-1.640236,-6.583541,-11.263924
5.823986,1.404399,2.9755,-9.417779,-2.700457,-2.410598,-9.314675
5.857141,1.417867,3.024733,-9.438879,-0.366326,1.31611,-10.272839
5.890538,1.468446,3.176172,-9.372138,0.445936,3.048975,-12.726833
5.92381,1.357262,3.068429,-9.285345,0.777245,5.29317,-15.730766
5.957141,1.402903,2.931655,-9.264694,-3.773397,3.984842,-14.288208
5.990451,1.414874,3.178117,-9.070907,16.890499,31.975256,-4.459061
6.023809,1.37043,3.022488,-9.288338,3.426823,38.31877,6.513509
6.056254,1.639189,2.926268,-9.56832,0.481252,-3.26072,-11.478063
6.090472,1.582773,3.037004,-9.770787,2.053101,1.675253,-10.918398
6.123787,1.444952,2.359869,-9.789342,-0.8383,3.81395,-8.825342
6.157144,0.09622,1.241288,-9.546023,-1.454529,2.990016,-8.896572
6.190479,2.207832,3.421436,-9.701203,-0.669652,3.4786,-9.055344
6.223828,3.193829,5.461369,-9.434988,-1.011586,3.53741,-8.912435
6.257175,1.080572,5.537388,-8.304735,-0.618175,3.738081,-9.274421
6.290347,1.168113,4.89497,-11.78094,-0.749861,3.579609,-9.120139
6.323509,3.916455,2.41,-14.986292,-0.791312,3.722368,-9.124778
6.356785,3.821282,-0.779939,-8.22692,-0.648852,3.431163,-9.156053
6.390473,4.029436,-0.036064,-7.883939,-0.849373,3.189639,-8.982318
6.423859,5.617896,2.358971,-10.197568,-0.906238,3.447325,-9.045018
6.45714,3.914061,3.164649,-9.275468,-0.74612,3.775342,-9.133607
6.490478,2.277117,3.276133,-8.45318,-0.147997,3.494761,-9.441572
6.523912,1.590854,4.666166,-10.194126,-0.356898,3.429517,-9.159794
6.557147,1.22363,5.214308,-10.751247,-0.356449,3.437298,-9.176854
6.590446,0.99737,4.583115,-10.042688,-0.298089,3.353349,-9.235065
6.623783,0.521057,4.561117,-9.575802,-0.502651,3.362028,-9.130764
6.657184,1.06471,4.189853,-8.970646,-0.329214,3.40752,-9.213367
6.690556,1.304737,4.732159,-7.87511,-0.383535,3.412907,-9.164134
6.723788,2.694321,6.619905,-8.752317,-0.344777,3.423082,-9.112657
6.757137,2.931505,7.062549,-8.703234,-0.351661,3.291397,-9.237459
6.790454,0.98495,8.03014,-6.428212,-0.127496,3.295736,-9.339516
6.823788,-0.143508,8.211357,-3.551925,-0.614284,3.509426,-9.054895
6.857138,-1.352922,14.904288,-0.348818,-0.522852,3.588139,-9.384109
6.890521,2.600495,37.121926,-40.218637,-0.438753,3.614476,-9.742055
6.923878,0.013767,-8.177688,-11.964103,-0.186754,3.576915,-10.837142
6.956275,0.995874,5.420516,-11.519514,-1.772221,3.162704,-11.992535
6.990469,1.639338,3.718927,-9.848302,-2.700307,-3.88503,-13.007713
7.024151,1.368934,2.994954,-9.04427,2.332335,5.278206,-17.444477
7.057125,1.431036,3.115267,-9.388898,-3.058403,3.022339,-11.467289
7.09047,1.217046,2.984329,-9.310635,-7.903243,11.396208,-23.656455
7.123777,1.146864,2.850848,-9.242846,-15.621975,-8.249666,-14.670546
7.157146,1.218094,2.980588,-9.374233,-1.017123,-5.054939,-9.339665
7.190508,1.322993,3.086535,-9.351337,2.048911,0.202766,-10.103592
7.223804,1.319552,3.013659,-9.374382,-1.881012,2.099939,-10.752594
7.257142,1.302343,3.047179,-9.211122,0.183762,4.889134,-13.094506
7.290496,1.322095,3.049274,-9.294323,-2.053999,5.796719,-13.872949
7.323873,1.267925,2.940484,-9.342808,-4.275598,6.032556,-12.431887
7.357138,1.301894,3.199366,-9.49679,18.173537,31.655918,12.662337
7.390493,1.40814,2.957543,-9.210823,6.014749,51.349977,-7.752702
7.423203,1.532194,2.859677,-9.99974,-0.983453,-3.411111,-5.144575
7.457139,1.115289,3.037453,-10.036702,-1.078626,1.71012,-10.649939
7.490565,1.316409,2.850698,-9.325,-0.978066,6.206741,-10.242461
7.523814,1.191307,3.814548,-9.478085,-0.960857,3.608789,-8.970346
7.557138,2.186583,5.341505,-9.68145,-0.86344,3.634977,-9.042325
7.590457,1.971546,5.002264,-8.72164,-0.641819,3.393303,-9.081232
7.62318,0.727115,5.780557,-7.488283,-0.707961,3.399289,-9.05684
7.657224,1.330475,5.030697,-11.138673,-0.427979,3.53307,-9.139593
7.690495,6.945378,6.063831,-18.641321,-0.37725,3.437897,-9.172963
7.72379,5.090554,-0.112681,-7.766768,-0.354803,3.447175,-9.200048
7.757141,2.280708,0.361986,-4.925198,-0.435461,3.48279,-9.162039
7.790478,3.662062,2.478835,-9.482574,-0.602612,3.339432,-9.095298
7.823828,3.706656,3.681815,-11.010429,-0.44848,3.42428,-9.107419
7.857155,1.154046,4.1912,-9.858926,-0.329963,3.465431,-9.196008
7.890472,-0.71649,4.919213,-9.630721,-0.504895,3.325066,-9.201844
7.923844,0.843837,4.963657,-10.254732,-0.488884,3.389562,-9.14468
7.957145,0.990786,4.343686,-8.912135,-0.467784,3.355145,-9.155904
7.990472,0.966245,4.658834,-9.1155,-0.360191,3.396147,-9.164583
8.023828,1.29486,4.40489,-8.811575,-0.43187,3.248599,-9.231473
8.057148,2.205737,5.134399,-10.793446,-0.413613,3.282268,-9.166528
8.090474,3.635276,5.061673,-10.30576,-0.228954,3.417097,-9.278162
8.123784,2.621595,4.918614,-8.062014,-0.425136,3.41156,-9.275019
8.157241,0.886186,5.743596,-7.414209,-0.216833,3.494761,-9.379171
8.190351,-1.034332,7.346272,-5.296462,-0.098166,3.542049,-9.453095
8.223806,-4.850826,13.946723,4.65614,-0.00419,3.616571,-9.461325
8.257184,30.499776,12.519428,-51.623674,0.22626,3.840287,-9.697312
8.289816,-0.340288,-5.837122,-12.319056,-0.427231,3.627345,-10.463184
8.322972,-0.12166,4.394714,-9.977443,-3.576915,1.635897,-13.505575
8.357158,0.868528,3.104343,-8.978278,3.156269,1.253709,-15.119474
8.390475,1.072042,3.088331,-8.708022,-1.511244,1.492688,-14.253042
8.423813,1.207768,3.05511,-9.565327,-3.416498,2.157851,-11.423443
8.457158,1.301894,2.899781,-9.367499,-12.555492,-3.031766,-12.742995
8.490479,1.25296,2.931206,-9.344454,-3.4575,-2.322159,-8.164818
8.523806,1.281393,3.02189,-9.389047,-0.545449,-1.385843,-7.763177
8.557139,1.32419,2.985975,-9.294922,-1.328829,0.846829,-9.05684
8.59048,1.362798,3.022339,-9.369893,-1.305186,2.35553,-10.497602
8.623792,1.309675,3.047628,-9.250628,0.551584,3.812304,-12.478875
8.657125,1.322694,3.028624,-9.405807,-0.517016,2.607977,-13.160199
8.690479,1.276903,2.917439,-9.388,-5.575846,2.424216,-13.481483
8.723706,1.465004,3.120654,-9.441422,12.372778,51.524611,-13.100043
8.757139,1.345739,2.951557,-9.297167,3.010666,19.587065,8.793169
